1	12	1
1	2	1
1	3	1
1	17	0
1	23	0
1	11	0
1	14	0
1	16	0
2	14	1
2	4	1
2	0	1
2	25	1
2	24	0
2	27	0
2	5	0
2	9	0
2	17	0
2	2	0
2	22	0
4	8	1
4	11	1
4	14	1
4	23	0
4	29	0
4	26	0
4	5	0
4	24	0
4	16	0
5	25	1
5	8	1
5	10	0
5	2	0
5	21	0
6	20	1
6	2	1
6	1	1
6	14	0
6	3	0
6	28	0
6	9	0
6	0	0
6	15	0
7	19	1
7	23	0
8	23	1
8	11	0
8	26	0
9	22	1
9	14	0
9	4	0
10	4	1
10	14	1
10	21	0
10	22	0
10	26	0
10	8	0
12	28	1
12	4	0
12	12	0
13	11	1
13	4	1
13	21	0
13	28	0
13	12	0
13	13	0
14	16	1
14	9	0
14	5	0
16	16	1
16	21	1
16	29	0
16	5	0
16	9	0
16	1	0
18	27	1
18	18	1
18	4	0
18	24	0
18	8	0
18	11	0
18	10	0
19	17	1
19	11	1
19	27	1
19	13	0
19	2	0
19	15	0
19	3	0
19	16	0
19	20	0
20	21	1
20	12	1
20	13	1
20	7	1
20	25	0
20	2	0
20	24	0
20	23	0
20	8	0
20	26	0
21	0	1
21	3	0
21	19	0
24	23	1
24	2	0
24	5	0
25	5	1
25	9	0
25	6	0
26	19	1
26	17	1
26	28	1
26	16	1
26	5	0
26	24	0
26	1	0
26	8	0
26	22	0
26	29	0
27	24	1
27	1	1
27	15	0
27	4	0
27	25	0
27	16	0
28	14	1
28	27	1
28	23	1
28	10	1
28	5	0
28	7	0
28	18	0
28	19	0
28	0	0
28	9	0
28	29	0
29	2	1
29	18	1
29	1	1
29	28	0
29	7	0
29	14	0
29	8	0
29	25	0
30	22	1
30	17	0
31	4	1
31	25	1
31	10	1
31	1	0
31	28	0
31	14	0
31	3	0
31	9	0
32	24	1
32	23	1
32	13	1
32	29	1
32	27	0
32	9	0
32	12	0
32	26	0
32	5	0
32	6	0
33	10	1
33	13	0
33	14	0
34	6	1
34	15	0
34	5	0
37	11	1
37	1	1
37	13	1
37	3	1
37	8	0
37	5	0
37	2	0
37	6	0
37	22	0
37	20	0
37	10	0
37	23	0
39	18	1
39	29	1
39	15	1
39	23	0
39	22	0
39	4	0
39	5	0
39	17	0
39	3	0
39	19	0
40	21	1
40	28	1
40	10	0
40	16	0
40	9	0
40	23	0
40	1	0
40	25	0
40	2	0
41	0	1
41	3	1
41	18	0
41	1	0
41	20	0
41	24	0
43	11	1
43	25	0
43	21	0
44	11	1
44	10	1
44	9	1
44	16	1
44	3	0
44	22	0
44	17	0
44	29	0
44	7	0
44	24	0
44	25	0
45	9	1
45	8	1
45	21	1
45	5	0
45	18	0
45	0	0
45	24	0
45	17	0
46	12	1
46	5	1
46	24	1
46	20	1
46	11	0
46	27	0
46	13	0
46	14	0
46	2	0
46	3	0
46	26	0
46	6	0
47	10	1
47	1	0
47	7	0
48	15	1
48	26	1
48	4	0
48	8	0
48	5	0
48	9	0
49	28	1
49	26	1
49	10	1
49	23	1
49	5	0
49	8	0
49	3	0
49	0	0
49	11	0
49	7	0
49	18	0
51	24	1
51	29	1
51	8	0
51	14	0
51	22	0
51	9	0
52	29	1
52	6	1
52	21	0
52	23	0
52	28	0
53	12	1
53	18	1
53	29	1
53	16	1
53	21	0
53	23	0
53	17	0
53	3	0
53	20	0
53	8	0
53	22	0
55	22	1
55	20	1
55	1	0
55	19	0
55	26	0
55	17	0
56	11	1
56	21	1
